                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1297,                 3.8214,                 4.2044,                0.00218,                0.65487,                0.00697,                0.00257,                 2.8584,                 4.5284,                 4.1535,              0.0032843,              0.0032843,              0.0032843
                      2,                 3.1571,                 3.7751,                 4.1758,                0.00215,                0.64602,                0.02381,                0.00544,                 2.8655,                 4.5367,                 4.1022,               0.006617,               0.006617,               0.006617
                      3,                 3.1206,                 3.5032,                 3.9569,                0.03888,                0.30973,                0.02477,                0.00515,                 3.1038,                 12.886,                   7.34,               0.009949,               0.009949,               0.009949
                      4,                 3.0188,                 3.3411,                 3.6153,                0.05923,                0.10619,                0.01687,                0.00431,                 2.9934,                 5.4297,                 4.2454,               0.009997,               0.009997,               0.009997
                      5,                 2.9242,                 3.3356,                 3.4125,                0.14815,                0.13717,                  0.059,                0.01369,                 2.9524,                 4.6001,                 3.8949,               0.009997,               0.009997,               0.009997
                      6,                 2.7821,                 3.2735,                 3.2435,                0.04283,                0.29204,                0.02528,                0.00703,                 2.6532,                 6.0322,                 3.3935,               0.009996,               0.009996,               0.009996
                      7,                 2.7389,                 3.2179,                 3.1243,                0.09973,                0.09735,                0.04243,                 0.0116,                 2.6027,                 4.0391,                  3.219,              0.0099951,              0.0099951,              0.0099951
                      8,                 2.6522,                  3.121,                 2.9925,                0.06462,                0.10619,                0.03255,                0.00819,                 2.5841,                 3.7026,                 3.3192,              0.0099941,              0.0099941,              0.0099941
                      9,                 2.5159,                 2.9624,                 2.8397,                0.30087,                0.18142,                0.13214,                0.05545,                 2.6208,                 3.4024,                 3.1881,              0.0099931,              0.0099931,              0.0099931
                     10,                 2.3642,                 2.8817,                 2.7321,                0.10985,                0.18142,                0.03742,                0.01266,                 2.5249,                 3.7807,                 3.0532,              0.0099921,              0.0099921,              0.0099921
                     11,                 2.2924,                  2.776,                 2.6071,                0.13954,                 0.1349,                0.05553,                0.01788,                 2.5261,                 3.3814,                 3.2128,              0.0099911,              0.0099911,              0.0099911
                     12,                 2.1583,                 2.6956,                 2.5011,                0.21452,                0.14602,                0.09313,                0.03519,                 2.3062,                 3.2622,                 2.8401,              0.0099901,              0.0099901,              0.0099901
                     13,                 2.0173,                 2.5949,                 2.3747,                0.23437,                0.20354,                0.12405,                0.03542,                 2.2325,                 3.6968,                 2.7854,              0.0099891,              0.0099891,              0.0099891
                     14,                 1.9382,                 2.5379,                 2.3122,                0.27751,                0.22124,                0.17996,                0.05811,                 2.2414,                 2.9267,                 2.8891,              0.0099881,              0.0099881,              0.0099881
                     15,                 1.9801,                 2.5236,                 2.2969,                0.27362,                0.19912,                0.13463,                0.04323,                 2.1816,                 3.0537,                 2.6466,              0.0099871,              0.0099871,              0.0099871
                     16,                 1.8543,                 2.4294,                 2.2069,                 0.1529,                0.19469,                0.09208,                  0.034,                 2.1273,                 3.2046,                 2.6485,              0.0099861,              0.0099861,              0.0099861
                     17,                 1.7786,                 2.3556,                 2.1563,                 0.2992,                0.17569,                0.11664,                0.04237,                 2.1301,                 3.1032,                 2.7621,              0.0099851,              0.0099851,              0.0099851
                     18,                 1.7935,                 2.3289,                 2.1372,                0.23086,                0.19027,                0.11489,                0.03451,                 2.2123,                 3.1123,                  2.622,              0.0099842,              0.0099842,              0.0099842
                     19,                 1.7355,                 2.2724,                 2.0857,                0.24319,                0.27876,                0.15931,                0.06219,                 2.2078,                 2.9427,                  2.618,              0.0099832,              0.0099832,              0.0099832
                     20,                 1.7043,                 2.2517,                 2.0536,                0.29832,                0.22386,                0.17281,                0.06297,                 2.1079,                 3.0581,                 2.5418,              0.0099822,              0.0099822,              0.0099822
                     21,                 1.6755,                 2.1936,                 2.0239,                0.20643,                0.16372,                0.11996,                0.04155,                 2.1458,                  3.138,                 2.6231,              0.0099812,              0.0099812,              0.0099812
                     22,                 1.6677,                 2.1662,                 2.0249,                 0.2651,                 0.2921,                0.18213,                0.07309,                 2.0726,                 2.8518,                 2.4922,              0.0099802,              0.0099802,              0.0099802
                     23,                 1.6114,                 2.0916,                 2.0036,                0.32477,                0.23451,                 0.1688,                 0.0547,                 2.1994,                 2.9237,                 2.6359,              0.0099792,              0.0099792,              0.0099792
                     24,                 1.6708,                 2.1299,                 2.0084,                0.19704,                0.22124,                0.11417,                0.03845,                  1.991,                 3.0931,                 2.4095,              0.0099782,              0.0099782,              0.0099782
                     25,                 1.6419,                 2.0858,                 1.9755,                0.20394,                0.20354,                0.14232,                0.05863,                   2.15,                 2.9282,                  2.544,              0.0099772,              0.0099772,              0.0099772
                     26,                  1.604,                 2.0582,                 1.9822,                0.23869,                0.30088,                0.12146,                0.04589,                 2.2459,                 3.1633,                 2.6179,              0.0099762,              0.0099762,              0.0099762
                     27,                  1.624,                 2.0924,                 1.9731,                0.38343,                0.27434,                0.21073,                0.08778,                 2.1049,                 2.7788,                 2.4615,              0.0099753,              0.0099753,              0.0099753
